time Ax Ay Az Gx Gy Gz
20 4.52479383 11.10929526 -0.54606384 2.091295 -1.103187 1.006263
40 4.944514679999999 10.783877940000002 2.7807720300000005 1.874371 -0.207691 1.02817
60 4.7316573 10.13841918 4.38123429 2.313688 -0.694092 1.072454
80 6.392902320000001 9.39985371 0.45714600000000005 2.31739 -2.553787 1.0000870000000002
100 7.180115580000001 10.531947330000001 -4.20640047 2.0346740000000003 -2.656666 1.131772
120 6.584952690000001 11.487264750000001 0.6824326500000001 2.083557 -1.313153 1.571568
140 4.75007067 13.8471093 3.29285403 2.191616 -1.061799 1.756803
160 3.8142162900000005 12.79090584 3.999537 1.784977 -1.89733 1.665302
180 2.98718424 14.09139792 1.2301445700000002 1.174685 -2.884719 1.631326
200 3.30677442 17.872083630000002 1.7583934500000002 0.911741 -3.390232 1.469904
220 1.21816656 17.66177685 4.7544165000000005 0.8665379999999999 -3.983419 1.2000879999999998
240 -1.05754743 16.89581205 4.33154664 0.6539149999999999 -3.960896 0.814014
260 -2.4965076600000002 16.13255481 0.9098088300000001 0.090294 -3.010265 0.402935
280 -2.18724741 13.765823640000002 0.6631167600000001 -0.518972 -1.934072 0.066151
300 0.59171958 9.46062666 1.5494306400000002 -1.3560530000000002 -1.273397 -0.324034
320 0.84798621 7.63038477 1.9411635600000001 -2.189595 -0.716303 -0.6553100000000001
340 0.6102801 5.444922780000001 -0.26929431000000004 -2.574752 -0.274876 -0.688476
360 -0.34547877 5.53115268 0.17887554 -1.121764 -0.163205 -0.30459200000000003
380 -0.29189655000000003 6.068976120000001 1.23822801 0.343534 -0.528515 -0.528898
400 0.20312586 5.598360990000001 1.04422545 -0.17294600000000002 -1.654227 -0.684887
420 1.12850316 5.085376470000001 0.65204127 -0.13811199999999998 -1.568304 0.440084
440 0.7535355300000001 4.3086402900000005 -0.5387259600000001 0.068371 -1.325213 1.27336
460 -1.08688914 3.3623088300000004 -0.76475817 0.392846 -1.330458 1.238245
480 -2.14039485 2.3944248 -1.85179446 -0.681704 -0.586863 0.8302719999999999
500 -1.17999585 2.1761719200000007 -3.8000016 -0.28084000000000003 2.45322 -1.05944
520 0.28201788000000005 2.7357147000000004 -5.14839591 0.2558 2.680173 -3.930568
540 1.95388713 5.4748629 -8.077652100000002 0.371852 2.62493 -2.738619
560 5.2980867 10.798995150000001 -12.06206208 -1.430682 2.841968 0.221374
580 7.335496170000001 17.78182182 -13.53679938 -2.735624 4.784177 0.766313
600 4.303254600000002 19.34546715 -9.19178361 -2.644463 5.538222 0.4636770000000001
620 2.6252442900000004 14.652578970000002 -6.27225894 -2.828497 4.52758 0.281021
640 1.2633710399999998 9.06185997 -6.43721409 -2.370342 3.0987240000000003 -0.30147
660 -0.6706017900000001 5.06906244 -8.45995761 -0.732391 2.438862 -0.541284
680 -0.5550498 3.1135272300000003 -2.0082247200000003 -0.40828 2.013354 -0.440198
700 -1.4907472200000003 15.302677860000001 -0.7726944600000001 -1.847066 0.691136 -0.206067
720 -1.85793552 21.707263890000004 4.430333340000001 -1.837887 0.025803 -0.06414500000000001
740 -7.828723350000001 21.76459353 -0.30476727000000003 -1.065882 -0.35391 -0.34775500000000004
760 -2.01480723 11.01095001 2.3493674700000002 -0.962638 -0.323827 -0.500896
780 2.3275107900000007 5.61572469 5.880820320000001 -1.193908 0.08970700000000001 -0.618409
800 2.7276312600000003 3.4185888 5.85013464 -1.134738 0.72208 -0.5696680000000001
820 3.5094490200000004 5.2474867199999995 4.66849071 -1.11499 0.996127 -0.654271
840 4.20176034 6.72970905 3.2400075600000005 -0.944096 0.962814 -0.729946
860 5.382207449999999 8.75499336 2.9175822900000004 -0.773307 0.972908 -0.73838
880 3.6763563599999998 10.46294379 -0.7246450799999999 -0.876411 0.914302 -0.645022
900 2.25026685 10.20727557 -1.34001657 -0.8415040000000001 0.728346 -0.525967
920 2.04819066 7.7562666899999995 1.4400099000000002 -0.530838 0.629943 -0.429667
940 0.96654006 5.692360409999999 1.56529341 -0.309145 0.914279 -0.332343
960 -0.48798864 6.061795200000001 -0.020208600000000004 -0.197191 1.042209 -0.187515
980 -0.46792719 6.9960015 0.24384717000000003 -0.001538 0.820366 -0.024563
