time Ax Ay Az Gx Gy Gz
20 -0.67569318 2.22661494 -0.8098155 -1.699711 1.974738 -0.8518889999999999
40 -0.8232846300000001 1.0000706400000001 -0.32946885000000004 -2.084087 1.99692 -1.004153
60 0.06975891000000001 1.05216174 -0.13217994000000002 -2.484639 1.434499 -1.466634
80 1.0398894300000001 2.63796786 -1.82246256 -2.304104 0.979126 -1.4979049999999998
100 2.294872920000001 4.302803340000001 -5.01666723 -1.478472 0.777945 -1.1874360000000002
120 3.98741184 4.88718504 -5.829926040000001 -0.655854 0.748604 -1.223313
140 3.89474658 2.80756314 -3.6380385000000004 -0.200217 0.16375599999999998 -1.3486360000000002
160 -4.320912600000001 6.11238537 -0.19205037000000003 -0.035327 -0.273098 -1.202715
180 0.14100894 14.749874550000001 -0.7864677000000001 0.108374 -0.7277819999999999 -1.108193
200 -1.2325382100000002 29.441978010000003 -5.745805290000001 0.366732 -0.963851 -0.90526
220 -0.63258804 17.766106200000003 -5.73067827 0.306701 -2.043563 -0.972662
240 -0.028439190000000003 9.18505395 -0.32467176000000003 0.083838 -2.275888 -0.756004
260 -0.47466666 7.642058670000001 -1.4413538700000001 -0.109429 -0.023503 0.111429
280 -1.26592164 10.65365019 -1.17325638 -0.527143 2.91735 0.5662149999999999
300 -1.6732230300000004 12.55603482 -0.12034908 -1.176256 1.826918 0.7596310000000001
320 -0.75652758 12.40410735 0.6191091000000001 -1.323943 0.8298989999999999 0.335793
340 1.3662092700000001 11.255846850000001 -0.30192237 -1.060155 0.58519 0.031369
360 3.3867063000000006 11.47349151 -1.6679844900000003 -1.113602 0.83111 -0.414768
380 3.18463011 12.051437850000001 -2.28051108 -1.210844 -0.060777 -0.799932
400 1.7630335800000003 10.802291310000001 -1.22160987 -1.308297 -0.619696 -0.8031020000000001
420 0.08592579000000002 8.83073637 0.04745097 -1.053792 -0.184094 -0.733516
440 0.7188081300000001 7.992177570000001 -1.78817661 -0.596303 0.06866599999999999 -0.669755
460 1.84581036 7.90640874 -0.96340086 -0.182537 0.263347 -0.4299689999999999
